Family                        ,Page                       ,Name                                      ,Threat   ,Standard,Bronze,Silver,Gold
Legends of Hogwarts           ,Yule Ball Great Hall       ,Hagrid and Madame Maxime                  ,High     ,9       ,15    ,22    ,30
Legends of Hogwarts           ,Yule Ball Great Hall       ,Hermione and Viktor                       ,Severe   ,5       ,10    ,13    ,18
Legends of Hogwarts           ,Yule Ball Great Hall       ,Parvati and Harry                         ,Severe   ,5       ,10    ,13    ,18
Legends of Hogwarts           ,Yule Ball Great Hall       ,Yule Ball Program                         ,Fortress ,7       ,14    ,21    ,25
Magical Games and Sports      ,Hogwarts Quidditch Pitch   ,Beater's Bat                              ,Medium   ,12      ,20    ,30    ,45
Magical Games and Sports      ,Hogwarts Quidditch Pitch   ,Bludger                                   ,Medium   ,12      ,20    ,30    ,45
Magical Games and Sports      ,Hogwarts Quidditch Pitch   ,Golden Snitch                             ,High     ,9       ,15    ,22    ,30
Magical Games and Sports      ,Hogwarts Quidditch Pitch   ,House of Exploding Snap Cards             ,Medium   ,12      ,20    ,30    ,45
Magical Games and Sports      ,Hogwarts Quidditch Pitch   ,Quidditch Keeper Ron                      ,Severe   ,5       ,10    ,13    ,18
Magical Games and Sports      ,Hogwarts Quidditch Pitch   ,Quidditch Pitch Stands                    ,Fortress ,7       ,14    ,21    ,25
Magical Games and Sports      ,Hogwarts Quidditch Pitch II,Madam Hooch                               ,High     ,9       ,15    ,22    ,30
Magical Games and Sports      ,Hogwarts Quidditch Pitch II,Quidditch Captain Cedric Diggery          ,Severe   ,5       ,10    ,13    ,18
Magical Games and Sports      ,Hogwarts Quidditch Pitch II,Quidditch Captain Marcus Flint            ,Medium   ,12      ,20    ,30    ,45
Magical Games and Sports      ,Hogwarts Quidditch Pitch II,Slytherin Quidditch Banner                ,Fortress ,7       ,14    ,21    ,25
Magical Games and Sports      ,Hogwarts Quidditch Pitch II,Slytherin Seeker Draco Malfoy             ,Severe   ,5       ,10    ,13    ,18
Magical Games and Sports      ,Hogwarts Quidditch Stands  ,Gryffindor Quidditch Banner               ,Fortress ,7       ,14    ,21    ,25
Magical Games and Sports      ,Hogwarts Quidditch Stands  ,Quidditch Fan Hermione Granger            ,Severe   ,5       ,10    ,13    ,18
Magical Games and Sports      ,Hogwarts Quidditch Stands  ,Quidditch Fan Luna Lovegood               ,High     ,9       ,15    ,22    ,30
Magical Games and Sports      ,Hogwarts Quidditch Stands  ,Quidditch Fan Neville Longbottom          ,High     ,9       ,15    ,22    ,30
Magical Games and Sports      ,Hogwarts Quidditch Stands  ,Quidditch Tryouts Seamus Finnigan         ,Medium   ,12      ,20    ,30    ,45
Magical Games and Sports      ,Triwizard Maze             ,Goblet of Fire                            ,Severe   ,5       ,10    ,13    ,18
Magical Games and Sports      ,Triwizard Maze             ,Nimbus 2000                               ,High     ,9       ,15    ,22    ,30
Magical Games and Sports      ,Triwizard Maze             ,Quidditch Captain Harry Potter            ,Emergency,3       ,5     ,7     ,10
Magical Games and Sports      ,Triwizard Maze             ,Quidditch Through the Ages Book           ,Fortress ,7       ,14    ,21    ,25
Magical Games and Sports      ,Triwizard Maze             ,Triwizard Cup                             ,Fortress ,7       ,14    ,21    ,25
Magical Games and Sports      ,World Cup Grounds          ,Chudley Cannons Player                    ,Low      ,15      ,25    ,38    ,55
Magical Games and Sports      ,World Cup Grounds          ,Gobstone Set                              ,Low      ,15      ,25    ,38    ,55
Magical Games and Sports      ,World Cup Grounds          ,Magical Megaphone                         ,Low      ,15      ,25    ,38    ,55
Magical Games and Sports      ,World Cup Grounds          ,Quaffle                                   ,Low      ,15      ,25    ,38    ,55
Magical Games and Sports      ,World Cup Grounds          ,Quidditch World Cup                       ,Medium   ,12      ,20    ,30    ,45
Magizoology                   ,Central Park               ,Branch of Bowtruckles                     ,Medium   ,12      ,20    ,30    ,45
Magizoology                   ,Central Park               ,Demiguise                                 ,High     ,9       ,15    ,22    ,30
Magizoology                   ,Central Park               ,Erumpent                                  ,Medium   ,12      ,20    ,30    ,45
Magizoology                   ,Central Park               ,Mountain Troll                            ,High     ,9       ,15    ,22    ,30
Magizoology                   ,Central Park               ,Murtlap                                   ,Fortress ,7       ,14    ,21    ,25
Magizoology                   ,Central Park               ,Pickett                                   ,Severe   ,5       ,10    ,13    ,18
Magizoology                   ,New York City Street       ,Newt Scamander                            ,Emergency,3       ,5     ,7     ,10
Magizoology                   ,New York City Street       ,Ocamy                                     ,Fortress ,7       ,14    ,21    ,25
Magizoology                   ,New York City Street       ,Ocamy Eggs                                ,High     ,9       ,15    ,22    ,30
Magizoology                   ,New York City Street       ,Thunderbird                               ,Fortress ,7       ,14    ,21    ,25
Magizoology                   ,New York City Street       ,Unicorn                                   ,Severe   ,5       ,10    ,13    ,18
Magizoology                   ,Newt's Case                ,Baby Niffler                              ,Low      ,15      ,25    ,38    ,55
Magizoology                   ,Newt's Case                ,Billywig                                  ,Low      ,15      ,25    ,38    ,55
Magizoology                   ,Newt's Case                ,Mooncalf                                  ,Medium   ,12      ,20    ,30    ,45
Magizoology                   ,Newt's Case                ,Niffler                                   ,Medium   ,12      ,20    ,30    ,45
Magizoology                   ,Newt's Case                ,Young Graphorn                            ,Low      ,15      ,25    ,38    ,55
Ministry of Magic             ,Courtroom Ten              ,Arthur Weasley                            ,Medium   ,12      ,20    ,30    ,45
Ministry of Magic             ,Courtroom Ten              ,Mad-Eye Moody                             ,High     ,9       ,15    ,22    ,30
Ministry of Magic             ,Courtroom Ten              ,Ministry Visitor's Entrance               ,Fortress ,7       ,14    ,21    ,25
Ministry of Magic             ,Courtroom Ten              ,Nymphadora Tonks                          ,High     ,9       ,15    ,22    ,30
Ministry of Magic             ,Courtroom Ten              ,Wizengamot Accusation Chair               ,Fortress ,7       ,14    ,21    ,25
Ministry of Magic             ,Ministry Atrium            ,Daily Prophet Stand                       ,Low      ,15      ,25    ,38    ,55
Ministry of Magic             ,Ministry Atrium            ,Flock of Interdepartmental Memos          ,Medium   ,12      ,20    ,30    ,45
Ministry of Magic             ,Ministry Atrium            ,Ministry Administrator                    ,Low      ,15      ,25    ,38    ,55
Ministry of Magic             ,Ministry Atrium            ,Ministry Official                         ,Low      ,15      ,25    ,38    ,55
Ministry of Magic             ,Ministry Atrium            ,Prophecy Record                           ,Low      ,15      ,25    ,38    ,55
Ministry of Magic             ,Ministry Atrium II         ,Bogrod                                    ,Medium   ,12      ,20    ,30    ,45
Ministry of Magic             ,Ministry Atrium II         ,Fountain of Magical Brethren              ,Fortress ,7       ,14    ,21    ,25
Ministry of Magic             ,Ministry Atrium II         ,Ministry Employee Newt Scamander          ,Emergency,3       ,5     ,7     ,10
Ministry of Magic             ,Ministry Atrium II         ,Tank of Brains                            ,Severe   ,5       ,10    ,13    ,18
Ministry of Magic             ,Ministry Atrium II         ,The Veil                                  ,Severe   ,5       ,10    ,13    ,18
Mysterious Artefacts          ,Dumbledore's Office        ,Dumbledore's Memory Cabinet               ,Medium   ,12      ,20    ,30    ,45
Mysterious Artefacts          ,Dumbledore's Office        ,Mirror of Erised                          ,High     ,9       ,15    ,22    ,30
Mysterious Artefacts          ,Dumbledore's Office        ,Pensieve                                  ,Severe   ,5       ,10    ,13    ,18
Mysterious Artefacts          ,Dumbledore's Office        ,Philosopher's Stone                       ,Severe   ,5       ,10    ,13    ,18
Mysterious Artefacts          ,Dumbledore's Office        ,Sword of Gryffindor                       ,Fortress ,7       ,14    ,21    ,25
Mysterious Artefacts          ,Room of Requirement II     ,Decoy Detonators                          ,Medium   ,12      ,20    ,30    ,45
Mysterious Artefacts          ,Room of Requirement II     ,Hagrid's Umbrella                         ,Low      ,15      ,25    ,38    ,55
Mysterious Artefacts          ,Room of Requirement II     ,Quill of Acceptance and Book of Admittance,Low      ,15      ,25    ,38    ,55
Mysterious Artefacts          ,Room of Requirement II     ,Remembrall                                ,Low      ,15      ,25    ,38    ,55
Mysterious Artefacts          ,Room of Requirement II     ,Weasley Clock                             ,Low      ,15      ,25    ,38    ,55
Mysterious Artefacts          ,Room of Requirement III    ,Cursed Opal Necklace                      ,Fortress ,7       ,14    ,21    ,25
Mysterious Artefacts          ,Room of Requirement III    ,Hermione's Time Turner                    ,Emergency,3       ,5     ,7     ,10
Mysterious Artefacts          ,Room of Requirement III    ,Mad-Eye Moody's Eye                       ,High     ,9       ,15    ,22    ,30
Mysterious Artefacts          ,Room of Requirement III    ,Marauder's Map                            ,Medium   ,12      ,20    ,30    ,45
Mysterious Artefacts          ,Room of Requirement III    ,Omnioculars                               ,Medium   ,12      ,20    ,30    ,45
Mysterious Artefacts          ,Room of Requirement III    ,Sirius' Flying Motorbike                  ,Fortress ,7       ,14    ,21    ,25
Oddities                      ,Oddities I                 ,Brown Centaur                             ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities I                 ,Centaur Bow                               ,Fortress ,7       ,14    ,21    ,25
Oddities                      ,Oddities I                 ,Pixie                                     ,Low      ,15      ,25    ,38    ,55
Oddities                      ,Oddities I                 ,Vampire                                   ,High     ,9       ,15    ,22    ,30
Oddities                      ,Oddities I                 ,Werewolf                                  ,High     ,9       ,15    ,22    ,30
Oddities                      ,Oddities II                ,Doxy                                      ,Low      ,15      ,25    ,38    ,55
Oddities                      ,Oddities II                ,Erkling                                   ,High     ,9       ,15    ,22    ,30
Oddities                      ,Oddities II                ,Horned Serpent                            ,Emergency,3       ,5     ,7     ,10
Oddities                      ,Oddities II                ,Horned Serpent Egg                        ,Fortress ,7       ,14    ,21    ,25
Oddities                      ,Oddities II                ,Leprechaun                                ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities III               ,Antipodean Opaleye                        ,Severe   ,5       ,10    ,13    ,18
Oddities                      ,Oddities III               ,Antipodean Opaleye Egg                    ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities III               ,Chinese Fireball                          ,Emergency,3       ,5     ,7     ,10
Oddities                      ,Oddities III               ,Chinese Fireball Egg                      ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities IV                ,Common Welsh Green                        ,Severe   ,5       ,10    ,13    ,18
Oddities                      ,Oddities IV                ,Common Welsh Green Egg                    ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities IV                ,Peruvian Vipertooth                       ,Emergency,3       ,5     ,7     ,10
Oddities                      ,Oddities IV                ,Peruvian Vipertooth Egg                   ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities V                 ,Azkaban Escapee                           ,Medium   ,12      ,20    ,30    ,45
Oddities                      ,Oddities V                 ,Death Eater                               ,Severe   ,5       ,10    ,13    ,18
Oddities                      ,Oddities V                 ,Three-Headed Dog                          ,Emergency,3       ,5     ,7     ,10
Wonders of the Wizarding World,Hogwarts Gate              ,Grawp                                     ,Severe   ,5       ,10    ,13    ,18
Wonders of the Wizarding World,Hogwarts Gate              ,Howler                                    ,Medium   ,12      ,20    ,30    ,45
Wonders of the Wizarding World,Hogwarts Gate              ,The Knight Bus                            ,Fortress ,7       ,14    ,21    ,25
Wonders of the Wizarding World,Hogwarts Gate              ,Wanted Poster of Sirius Black             ,Medium   ,12      ,20    ,30    ,45
Wonders of the Wizarding World,Hogwarts Gate              ,Weasley's Flying Car                      ,Severe   ,5       ,10    ,13    ,18
Wonders of the Wizarding World,Hogwarts Gate              ,Whomping Willow                           ,Emergency,3       ,5     ,7     ,10
Wonders of the Wizarding World,King's Cross Station       ,Baby Mandrake                             ,High     ,9       ,15    ,22    ,30
Wonders of the Wizarding World,King's Cross Station       ,Foe-Glass                                 ,High     ,9       ,15    ,22    ,30
Wonders of the Wizarding World,King's Cross Station       ,Giant's Helm                              ,Medium   ,12      ,20    ,30    ,45
Wonders of the Wizarding World,King's Cross Station       ,Hogwarts Express Engine                   ,Fortress ,7       ,14    ,21    ,25
Wonders of the Wizarding World,King's Cross Station       ,Platform 9 3/4 Sign                       ,Fortress ,7       ,14    ,21    ,25
Wonders of the Wizarding World,Room of Requirement IV     ,Crystal Ball                              ,Low      ,15      ,25    ,38    ,55
Wonders of the Wizarding World,Room of Requirement IV     ,Dirigible Plum                            ,Low      ,15      ,25    ,38    ,55
Wonders of the Wizarding World,Room of Requirement IV     ,Music Box                                 ,Low      ,15      ,25    ,38    ,55
Wonders of the Wizarding World,Room of Requirement IV     ,Quibbler                                  ,Low      ,15      ,25    ,38    ,55
Wonders of the Wizarding World,Room of Requirement IV     ,Self-Playing Harp                         ,Medium   ,12      ,20    ,30    ,45
Wonders of the Wizarding World,Weasleys' Wizarding Wheezes,Lee Jordan                                ,High     ,9       ,15    ,22    ,30
Wonders of the Wizarding World,Weasleys' Wizarding Wheezes,Proprietor Fred Weasley                   ,Severe   ,5       ,10    ,13    ,18
Wonders of the Wizarding World,Weasleys' Wizarding Wheezes,Proprietor George Weasley                 ,Severe   ,5       ,10    ,13    ,18
Wonders of the Wizarding World,Weasleys' Wizarding Wheezes,Puking Pastilles Display                  ,High     ,9       ,15    ,22    ,30
Wonders of the Wizarding World,Weasleys' Wizarding Wheezes,Skiving Snackbox                          ,Fortress ,7       ,14    ,21    ,25
